,Profil,Czas,Kurs,Zmiana,Zmiana %,Odn.,Otw.,Min.,Max.,Wolumen,Obrót,Udział,1r 3m
0,ALR (ALIOR),03 lip 17:01,16.49,0.04,(+0.24%),16.45,16.57,16.22,16.6,276 935,4 555 007,0.861%,
1,CCC,03 lip 17:03,63.0,-0.5,(-0.79%),63.5,64.0,61.38,64.44,216 388,13 633 688,1.145%,
2,CDR (CDPROJEKT),03 lip 17:02,406.0,1.1,(+0.27%),404.9,407.0,403.8,409.8,108 266,44 061 620,13.991%,
3,CPS (CYFRPLSAT),03 lip 17:00,27.34,0.02,(+0.07%),27.32,27.4,27.18,27.5,230 795,6 312 298,4.423%,
4,DNP (DINOPL),03 lip 17:00,198.2,-0.7,(-0.35%),198.9,198.0,198.0,201.6,57 903,11 530 085,5.577%,
5,JSW,03 lip 17:00,18.84,0.02,(+0.11%),18.82,19.0,18.84,19.15,234 379,4 434 581,0.583%,
6,KGH (KGHM),03 lip 17:02,94.26,-1.12,(-1.17%),95.38,95.38,93.72,96.0,377 560,35 778 080,7.556%,
7,LPP,03 lip 17:00,6385.0,265.0,(+4.33%),6120.0,6200.0,6070.0,6435.0,2 461,15 459 790,4.9%,
8,LTS (LOTOS),03 lip 17:01,59.72,-1.08,(-1.78%),60.8,61.1,59.62,61.2,150 119,9 002 544,3.037%,
9,MBK (MBANK),03 lip 17:00,236.4,2.8,(+1.20%),233.6,236.0,230.0,236.4,11 268,2 636 004,1.806%,
10,OPL (ORANGEPL),03 lip 17:04,6.565,0.08,(+1.23%),6.485,6.46,6.455,6.595,976 922,6 367 167,2.497%,
11,PEO (PEKAO),03 lip 17:04,55.0,-0.6,(-1.08%),55.6,55.8,54.62,55.8,374 168,20 603 686,5.701%,
12,PGE,03 lip 17:04,7.146,-0.10400000000000001,(-1.43%),7.25,7.32,7.11,7.358,1 901 975,13 755 986,3.346%,
13,PGN (PGNIG),03 lip 17:04,4.69,-0.008,(-0.17%),4.698,4.72,4.638999999999999,4.72,2 803 860,13 117 242,4.478%,
14,PKN (PKNORLEN),03 lip 17:00,63.44,-0.08,(-0.13%),63.52,63.9,62.54,63.92,442 882,28 027 610,10.776%,
15,PKO (PKOBP),03 lip 17:03,23.27,-0.22,(-0.94%),23.49,23.57,23.16,23.59,1 387 779,32 342 370,11.727%,
16,PLY (PLAY),03 lip 17:01,32.0,0.32,(+1.01%),31.68,31.8,31.12,32.5,334 988,10 726 380,2.857%,
17,PZU,03 lip 17:02,29.49,-0.05,(-0.17%),29.54,29.76,29.35,29.77,639 208,18 929 696,9.849%,
18,SPL (SANPL),03 lip 17:00,173.5,-1.5,(-0.86%),175.0,175.4,171.5,176.4,43 995,7 621 318,3.386%,
19,TPE (TAURONPE),03 lip 17:03,2.454,-0.055999999999999994,(-2.23%),2.51,2.5340000000000003,2.452,2.5839999999999996,5 338 799,13 376 772,1.505%,
