Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-09-07,3.656,3.8683,3.6014,3.8338,62800484
2000-09-08,3.8103,3.8103,3.6172,3.6405,56462711
2000-09-11,3.6286,3.7334,3.5938,3.6138,54112933
2000-09-12,3.5457,3.7137,3.5247,3.5716,54290825
2000-09-13,3.5096,3.679,3.5096,3.5865,88363482
2000-09-14,3.6212,3.6867,3.5133,3.5161,123181649
2000-09-15,3.5716,3.5974,3.3542,3.4145,113929698
2000-09-18,3.4158,3.7572,3.4048,3.7507,122599483
2000-09-19,3.695,3.7414,3.6212,3.7066,78408029
2000-09-20,3.673,3.799,3.6212,3.7743,65666165
2000-09-21,3.6172,3.6867,3.4158,3.5049,147421784
2000-09-22,3.1117,3.2428,3.0921,3.2265,209860027
2000-09-25,3.2627,3.4316,3.2193,3.3081,125780495
2000-09-26,3.2973,3.3858,3.177,3.1808,84018082
2000-09-27,3.2006,3.2627,2.9832,3.0261,116166267
2000-09-28,3.0495,3.3281,2.9754,3.3081,282889258
2000-09-29,1.7439,1.7933,1.5696,1.5931,2143255806
2000-10-02,1.6512,1.6549,1.4531,1.499,700241748
2000-10-03,1.5423,1.5458,1.3729,1.3791,588577761
2000-10-04,1.3836,1.4692,1.353,1.4605,423365205
2000-10-05,1.4531,1.5149,1.3603,1.364,252110847
2000-10-06,1.4036,1.4187,1.2985,1.3729,176925877
2000-10-09,1.3989,1.4149,1.3061,1.3454,172567529
2000-10-10,1.3367,1.3874,1.2677,1.2909,199579528
2000-10-11,1.2441,1.2985,1.1821,1.2131,346085977
2000-10-12,1.2551,1.2863,1.2056,1.2371,343960990
2000-10-13,1.2512,1.3676,1.2371,1.364,360331850
2000-10-16,1.3791,1.4372,1.3219,1.3296,236854238
2000-10-17,1.342,1.3568,1.2182,1.2441,173767490
2000-10-18,1.2018,1.3023,1.1601,1.2441,240923100
2000-10-19,1.1846,1.2242,1.1316,1.1712,435118975
2000-10-20,1.1785,1.2603,1.1712,1.2056,228504661
2000-10-23,1.2524,1.2714,1.2018,1.2603,159204655
2000-10-24,1.2799,1.2909,1.1624,1.1674,232313143
2000-10-25,1.1785,1.1873,1.1403,1.1438,191744219
2000-10-26,1.1624,1.1674,1.0821,1.1438,208459544
2000-10-27,1.1674,1.1873,1.1058,1.1477,215001103
2000-10-30,1.1821,1.2331,1.1601,1.1938,184588139
2000-10-31,1.222,1.2512,1.1899,1.2096,255828771
2000-11-01,1.2018,1.2909,1.2018,1.2677,166156968
2000-11-02,1.3061,1.3874,1.3023,1.3791,170583236
2000-11-03,1.4223,1.4223,1.3568,1.3754,148961349
2000-11-06,1.3874,1.3989,1.2909,1.3257,113630513
2000-11-07,1.3296,1.3481,1.2863,1.3172,87202331
2000-11-08,1.3219,1.3257,1.2242,1.2403,121892762
2000-11-09,1.2293,1.2677,1.1785,1.2489,137702449
2000-11-10,1.1972,1.2293,1.1785,1.1785,121939669
2000-11-13,1.1601,1.2371,1.1279,1.1982,124701830
2000-11-14,1.2331,1.2677,1.2096,1.2512,118113376
2000-11-15,1.2395,1.2489,1.1899,1.2293,81540542
2000-11-16,1.2056,1.2242,1.1674,1.175,69126950
2000-11-17,1.1873,1.1899,1.1279,1.1438,128849930
2000-11-20,1.149,1.2056,1.1279,1.1712,117843319
2000-11-21,1.1873,1.2056,1.1601,1.1624,87199098
2000-11-22,1.1624,1.1821,1.1364,1.1438,81013327
2000-11-24,1.1661,1.2056,1.1624,1.1938,46474915
2000-11-27,1.2293,1.2331,1.1438,1.1563,74735380
2000-11-28,1.1563,1.175,1.1095,1.1152,77719108
2000-11-29,1.1179,1.1316,1.066,1.0859,142125466
2000-11-30,1.0327,1.0513,0.9969,1.0204,233799356
2000-12-01,1.0513,1.0821,1.0389,1.0549,111385843
2000-12-04,1.0637,1.0637,1.0165,1.0327,107289498
2000-12-05,1.0475,1.0784,1.0127,1.0513,177307538
2000-12-06,0.904,0.9275,0.8659,0.8855,396924093
2000-12-07,0.893,0.9199,0.8659,0.8855,118089118
2000-12-08,0.9163,0.9471,0.893,0.9314,125801522
2000-12-11,0.9388,0.9511,0.9199,0.9388,96024116
2000-12-12,0.9423,0.9892,0.9275,0.9511,111545954
2000-12-13,0.9622,0.9622,0.9199,0.9275,99598135
2000-12-14,0.9289,0.9423,0.893,0.893,76042081
2000-12-15,0.9003,0.9076,0.8659,0.8696,148419590
2000-12-18,0.9003,0.904,0.8619,0.8804,94088333
2000-12-19,0.8893,0.9423,0.8659,0.8659,108007529
2000-12-20,0.8519,0.904,0.8425,0.8893,163258961
2000-12-21,0.8804,0.9275,0.8582,0.8696,105939137
2000-12-22,0.8729,0.9275,0.8729,0.9275,91848531
2000-12-26,0.9199,0.9275,0.8804,0.9076,62612902
2000-12-27,0.8868,0.9163,0.8767,0.9163,93989687
2000-12-28,0.8893,0.9237,0.8855,0.9163,88130600
2000-12-29,0.9076,0.9275,0.8966,0.9199,182031354
2001-01-02,0.9199,0.9423,0.9003,0.9199,130620752
2001-01-03,0.8966,1.0327,0.893,1.0127,235958311
2001-01-04,1.1217,1.1438,1.0389,1.0549,213526217
2001-01-05,1.0475,1.0746,0.9929,1.0127,119082084
2001-01-08,1.0475,1.05,0.9859,1.024,107918588
2001-01-09,1.0389,1.0905,1.024,1.0637,170073812
2001-01-10,1.0327,1.0513,0.9929,1.024,167720813
2001-01-11,1.0043,1.1438,1.0043,1.1131,232106145
2001-01-12,1.1058,1.1131,1.0549,1.0637,122264716
2001-01-16,1.0784,1.1279,1.0513,1.0584,88402294
2001-01-17,1.0859,1.0859,1.0204,1.0389,242831390
2001-01-18,1.1008,1.1601,1.0897,1.1563,354341764
2001-01-19,1.2018,1.2096,1.1563,1.2056,224288632
2001-01-22,1.1785,1.2131,1.1403,1.1899,149973736
